STT;Mã vật tư;Tên vật tư;Nhà cung cấp;Đơn giá;Thời gian giao hàng;Điều kiện thanh toán;Đánh giá NCC;Ghi chú
1;;;;;;;;
2;;;;;;;;
3;;;;;;;;
4;;;;;;;;
5;;;;;;;;
6;;;;;;;;
7;;;;;;;;
8;;;;;;;;
9;;;;;;;;
10;;;;;;;;
