STT;Mã PR;Mã PO;Nhà cung cấp;Tên vật tư;Quy cách;Số lượng;Đơn giá;Tổng tiền;Ngày đặt hàng;Ngày giao dự kiến;Ngày giao thực tế;Trạng thái;Người phụ trách;Ghi chú
1;;;;;;;;;;;;;;
2;;;;;;;;;;;;;;
3;;;;;;;;;;;;;;
4;;;;;;;;;;;;;;
5;;;;;;;;;;;;;;
6;;;;;;;;;;;;;;
7;;;;;;;;;;;;;;
8;;;;;;;;;;;;;;
9;;;;;;;;;;;;;;
10;;;;;;;;;;;;;;
