STT;Số PR;Ngày PR;Bộ phận yêu cầu;Hạng mục;Số lượng PR;Đơn vị tính;Ngày cần hàng;Trạng thái mua hàng;Ngày dự kiến hoàn thành;Tiến độ (%);Vấn đề tồn đọng;Người phụ trách
1;A019-2026;16/01/2026;Hành chính nhân sự;Huấn luyện cấp chứng chỉ vận hành cầu trục;1;Gói/Lần;31/01/2026;Đang tìm NCC/Báo giá;;0;Chưa chốt được đơn vị huấn luyện;
2;A019-2026;16/01/2026;Hành chính nhân sự;Giá để bình chữa cháy;8;Cái;31/01/2026;Đang tìm NCC/Báo giá;;0;Chưa tìm được NCC giá;
