STT;Mã PR;Ngày yêu cầu;Người yêu cầu;Phòng ban;Mã vật tư;Tên vật tư;Quy cách;Đơn vị;Số lượng;Ngày cần hàng;Mức độ ưu tiên;Ghi chú
1;;;;;;;;;;;;
2;;;;;;;;;;;;
3;;;;;;;;;;;;
4;;;;;;;;;;;;
5;;;;;;;;;;;;
6;;;;;;;;;;;;
7;;;;;;;;;;;;
8;;;;;;;;;;;;
9;;;;;;;;;;;;
10;;;;;;;;;;;;
