STT;Mã PO/Hợp đồng;Nhà cung cấp;Nội dung thanh toán;Giá trị (VNĐ);Thuế VAT (%);Tổng tiền (VNĐ);Ngày đến hạn;Trạng thái hồ sơ;Thanh toán đợt 1;Ghi chú
1;PO-26-WNC-1-109;Tuấn Mai;Thép tấm Tuấn Mai 01-4-2026;1295074;10;1424581;15/04/2026;Chờ biên bản giao nhận;;Thanh toán theo tiến độ
2;HD-MRO-01/2026;Đơn vị cung cấp bảo hộ;Cung cấp đồ bảo hộ đợt 1;15000000;10;16500000;20/04/2026;Đủ bộ hồ sơ trình ký;;Thanh toán 100%
