STT;Số Hợp đồng;Nhà Cung Cấp;Nội dung;Giá trị hợp đồng;Ngày ký;Ngày hết hạn;Trạng thái
1;HD-26-WNC-109;Tuấn Mai;Cung cấp thép tấm dự án WNC;1295074;01/04/2026;30/06/2026;Đang thực hiện
2;HD-MRO-2026-05;Công ty CP Kiểm định;Kiểm định an toàn thiết bị;5000000;10/01/2026;10/01/2027;Hoàn thành
