;;;;;;;;THEO DÕI VẬT TƯ DỰ ÁN/ MATERIAL CONTROL LOG;;;;;Hướng dẫn cập nhật thông tin:;;;;Thời gian nộp bảng cập nhật:;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;DỰ TOÁN;;;;;;;
;;;;;;;;Tên dự án/ Project no.:25-BRA-I-090;;;;;- Chữ tô màu xanh:;;Chưa cập nhật;;- Trong ngày khi có biến động.;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Hiện; Thiếu Thiết kế báo khổ 2m chỉ mua 60 tấm ; 36,00 ;; 63 tờ tôn PL3x 2m x 6m ;;;;I90-A4;Tôn tấm;PL3x1500x6000;ASTM A36;m2;23,6;9,29;218,7;;; 9,00 ; 212,0 ;;; -   ; -   ; -   ; -   ; 18,0 ; 423,9 ; -   ; -   ; 9,0 ; 212,0 ; -   ; -   ; -   ; -   ; -   ; -   ;;; -   ; -   ; -   ; -   ; 18,0 ; 672,9 ; -   ; -   ; -   ; -   ; -   ; -   ;;; 450,0 ; 10.597,5 ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ;;; -   ; -   ; 756,0 ; 17.803,8 ; -   ; -   ;;; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ;;;;;;;;; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; 1.260,00 ; 29.921,96 ; Rev27-Braden bổ sung PL3x1500x6000-84 tờ cho mục cover mới (tính cho U3+U4+U5) ;;;;;; 1.260 ; 29.922 ;15/5/25;140525HN-IBS;Hùng Nguyên;Thép tấm 3x1500x6000;"SS400 
(Team / chứng chỉ A36)"; 211,95 ;14/5/25;9,00; 211,95 ;13.090,91; 3.052.080,21 ;10%;2.774.618,37;17-May; 1.224 ; 28.825 ;;;;;;;;;;;;;;;;;;;;;;; -   ; -  ,00 ;;;;; 1.224 ; 28.825 ; 36 ; 1.097 ; Thiếu ;;;;;;;;;
ok;;;;;;;;I90-A4;Tôn tấm;PL3x1500x6000;ASTM A36;m2;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;11.11.2025/APEC;APEC;Thép tấm 3x2000x6000mm ( 60 Tấm);SS400/SS400B;;11/11/25; 720,00 ; 16.956,00 ;13.954,55; 260.274.684,78 ;10%;236.613.349,80;15-Nov;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
ok;;;;;;;;I90-A4;Tôn tấm;PL3x1500x6000;ASTM A36;m2;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;150725/HN-IBS;Hùng Nguyên;Thép tấm 3x1500x6000 = 1 Tấm A36;SS400/Q235B; 211,95 ;15/7/25;9,00; 211,95 ;13.454,55; 3.136.861,06 ;10%;2.851.691,87;18-Jul;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
ok;;;;;;;;I90-A4;Tôn tấm;PL3x1500x6000;ASTM A36;m2;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;210625/HN-IBS;Hùng Nguyên;Thép tấm 3x1500x6000 (2 tờ);SS400; 423,90 ;21/6/25;18,00; 423,90 ;13.363,64; 6.231.331,70 ;10%;5.664.847,00;27-Jun;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
ok;;;;;;;;I90-A4;Tôn tấm;PL3x1500x6000;ASTM A36;m2;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;I90-0409/HN-IBS;Hùng Nguyên;Thép tấm 3x1500x6000 ( 2 tấm);;423,9;4-Sep;18;423,9;13909,09; 6.485.669,58 ;10%;5896063,251;9-Sep;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
ok;;;;;;;;I90-A4;Tôn tấm;PL3x1500x6000;ASTM A36;m2;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;I90-0310/HN-IBS;Hùng Nguyên;Thép tấm 3x1500x6000 SS400 ( 50 Tấm);SS400;10597,5;3/10/25;450;10597,5; 14.181,82 ; 165.321.021,20 ;10%; 150.291.837,45 ;9-Oct;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Hiện; Thừa ; (3,00);;;;;;I90-A5;Tôn tấm;PL5x1500x6000;ASTM A36;m2;39,3;6,83;267,9;;; 9,00 ; 353,3 ;;; -   ; -   ; -   ; -   ; 9,0 ; 353,3 ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ;;; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ;;; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; 9,0 ; 353,3 ; -   ; -   ;;; -   ; -   ; -   ; -   ; -   ; -   ;;; -   ; -   ; 9,0 ; 353,3 ; -   ; -   ; -   ; -   ;;;;;;;;; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; 36,00 ; 1.413,00 ; Rev31-IBS-PL5x1500x6000-1tờ cho rev platform ;;;;;; 36 ; 1.413 ;15/5/25;140525HN-IBS;Hùng Nguyên;Thép tấm 5x1500x6000;SS400 (Team / chứng chỉ A36); 353,25 ;14/5/25; 9 ; 353,25 ;13.090,91; 5.086.800,35 ;10%;4.624.363,96;17-May; 39 ; 1.531 ;;;;;;;;;;;;;;;;;;;;;;; -   ; -  ,00 ;;;;; 39 ; 1.531 ; (3); (118); Thừa ;;;;;;;;;
ok;;;;;;;;I90-A5;Tôn tấm;PL5x1500x6000;ASTM A36;m2;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;?;Hùng Nguyên;Thép tấm 5x2000x6000;; 471,00 ;?; 12 ; 471,00 ;13.727,27; 7.112.098,59 ;10%;6.465.544,17;6-Dec;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
ok;;;;;;;;I90-A5;Tôn tấm;PL5x1500x6000;ASTM A36;m2;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;210625/HN-IBS;Hùng Nguyên;Thép tấm 5x1500x6000 (1 tờ);SS400; 353,25 ;21/6/25; 9 ; 353,25 ;13.272,73; 5.157.451,06 ;10%;4.688.591,87;27-Jun;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
ok;;;;;;;;I90-A5;Tôn tấm;PL5x1500x6000;ASTM A36;m2;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;?;Hùng Nguyên;Thép tấm 5x1500x6000 (1 tờ);; 353,25 ;?; 9 ; 353,25 ;14.181,82; 5.510.700,71 ;10%;5.009.727,92;27-Oct;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
